	hx	hy
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0.01	0.05
19	0.08	0.15
20	0.15	0.25
21	0.22	0.35
22	0.29	0.45
23	0.36	0.55
24	0.43	0.65
25	0.5	0.75
26	0.54	0.771
27	0.58	0.792
28	0.62	0.813
29	0.66	0.834
30	0.7	0.85
31	0.74	0.85
32	0.78	0.85
33	0.82	0.85
34	0.86	0.85
35	0.9	0.85
36	0.9	0.85
37	0.9	0.85
38	0.9	0.85
39	0.9	0.85
40	0.9	0.85
41	0.9	0.85
42	0.9	0.85
43	0.9	0.85
44	0.9	0.85
45	0.9	0.85
46	0.9	0.85
47	0.9	0.85
48	0.9	0.85
49	0.9	0.85
50	0.9	0.85
51	0.9	0.84
52	0.9	0.83
53	0.9	0.82
54	0.9	0.81
55	0.9	0.8
56	0.9	0.79
57	0.9	0.78
58	0.9	0.77
59	0.9	0.76
60	0.9	0.75
61	0.9	0.74
62	0.9	0.73
63	0.9	0.72
64	0.9	0.71
65	0.9	0.7
66	0.9	0.69
67	0.9	0.68
