	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116	2117	2118	2119	2120	2121	2122	2123	2124	2125	2126	2127	2128	2129	2130	2131	2132	2133	2134	2135	2136	2137	2138	2139	2140	2141	2142	2143	2144	2145	2146	2147	2148	2149	2150	2151	2152	2153	2154	2155	2156	2157	2158	2159	2160	2161	2162	2163	2164	2165	2166	2167	2168	2169	2170	2171	2172	2173	2174	2175	2176	2177	2178	2179	2180	2181	2182	2183	2184
0	0.0025688815	0.0024590375	0.0023538977	0.0022532603	0.0021569325	0.0020647295	0.0019764746	0.0018919985	0.0018111392	0.0017337418	0.0016596578	0.0015887453	0.0015208682	0.0014558964	0.0013937055	0.0013341762	0.0012771945	0.0012226511	0.0011704415	0.0011204658	0.0010726281	0.0010268369	0.0009830044	0.0009410468	0.0009008837	0.0008624381	0.0008256366	0.0007904087	0.0007566869	0.0007244067	0.0006935065	0.000663927	0.0006356118	0.0006085066	0.0005825597	0.0005577215	0.0005339445	0.0005111832	0.0004893943	0.000468536	0.0004485685	0.0004294538	0.0004111552	0.000393638	0.0003768686	0.0003608151	0.0003454468	0.0003307345	0.0003166501	0.0003031666	0.0002902585	0.0002779011	0.0002660709	0.0002547453	0.0002439028	0.0002335227	0.0002235853	0.0002140716	0.0002049635	0.0001962437	0.0001878956	0.0001799034	0.0001722518	0.0001649263	0.0001579129	0.0001511984	0.0001447699	0.0001386153	0.0001327229	0.0001270814	0.0001216802	0.000116509	0.000111558	0.0001068177	0.0001022793	0.0000979341	0.0000937738	0.0000897906	0.000085977	0.0000823256	0.0000788295	0.0000754822	0.0000722773	0.0000692088	0.0000662707	0.0000634576	0.0000607642	0.0000581852	0.0000557159	0.0000533517	0.0000510879	0.0000489203	0.0000468449	0.0000448577	0.0000429549	0.000041133	0.0000393885	0.0000377181	0.0000361187	0.0000345872	0.0000331208	0.0000317166	0.0000303721	0.0000290847	0.0000278519	0.0000266715	0.0000255412	0.0000244589	0.0000234225	0.0000224301	0.0000214798	0.0000205699	0.0000196985	0.0000188641	0.0000180652	0.0000173001	0.0000165675	0.0000158659	0.0000151941	0.0000145508	0.0000139348	0.0000133449	0.00001278	0.0000122391	0.0000117211	0.000011225	0.00001075	0.0000102951	0.0000098595	0.0000094424	0.0000090429	0.0000086603	0.000008294	0.0000079432	0.0000076072	0.0000072855	0.0000069774	0.0000066823	0.0000063998	0.0000061292	0.00000587	0.0000056219	0.0000053842	0.0000051566	0.0000049387	0.0000047299	0.00000453	0.0000043386	0.0000041553	0.0000039797	0.0000038115	0.0000036505	0.0000034963	0.0000033486	0.0000032071	0.0000030717	0.0000029419	0.0000028177	0.0000026987	0.0000025847	0.0000024756	0.000002371	0.0000022709	0.0000021751	0.0000020832	0.0000019953	0.0000019111	0.0000018304	0.0000017531	0.0000016791	0.0000016083
1	0.0002379203	0.0002291849	0.0002207703	0.0002126645	0.0002048563	0.0001973348	0.0001900895	0.0001831101	0.000176387	0.0001699108	0.0001636723	0.0001576628	0.000151874	0.0001462977	0.0001409262	0.0001357519	0.0001307675	0.0001259662	0.0001213411	0.0001168859	0.0001125942	0.0001084602	0.0001044779	0.0001006418	0.0000969465	0.000093387	0.0000899581	0.0000866551	0.0000834734	0.0000804086	0.0000774562	0.0000746123	0.0000718727	0.0000692338	0.0000666918	0.0000642431	0.0000618843	0.0000596121	0.0000574233	0.0000553149	0.0000532839	0.0000513275	0.0000494429	0.0000476276	0.0000458788	0.0000441943	0.0000425716	0.0000410086	0.0000395029	0.0000380524	0.0000366553	0.0000353094	0.000034013	0.0000327642	0.0000315612	0.0000304024	0.0000292861	0.0000282108	0.000027175	0.0000261772	0.0000252161	0.0000242903	0.0000233984	0.0000225393	0.0000217118	0.0000209146	0.0000201467	0.000019407	0.0000186944	0.000018008	0.0000173469	0.00001671	0.0000160964	0.0000155054	0.0000149361	0.0000143877	0.0000138595	0.0000133506	0.0000128604	0.0000123883	0.0000119334	0.0000114953	0.0000110732	0.0000106667	0.000010275	0.0000098978	0.0000095344	0.0000091843	0.0000088471	0.0000085223	0.0000082094	0.000007908	0.0000076176	0.0000073379	0.0000070685	0.000006809	0.000006559	0.0000063182	0.0000060862	0.0000058628	0.0000056475	0.0000054402	0.0000052404	0.000005048	0.0000048627	0.0000046842	0.0000045122	0.0000043465	0.0000041869	0.0000040332	0.0000038851	0.0000037425	0.0000036051	0.0000034727	0.0000033452	0.0000032224	0.0000031041	0.0000029901	0.0000028804	0.0000027746	0.0000026727	0.0000025746	0.0000024801	0.000002389	0.0000023013	0.0000022168	0.0000021354	0.000002057	0.0000019815	0.0000019088	0.0000018387	0.0000017712	0.0000017062	0.0000016435	0.0000015832	0.0000015251	0.0000014691	0.0000014151	0.0000013632	0.0000013131	0.0000012649	0.0000012185	0.0000011737	0.0000011306	0.0000010891	0.0000010492	0.0000010106	0.0000009735	0.0000009378	0.0000009034	0.0000008702	0.0000008382	0.0000008075	0.0000007778	0.0000007493	0.0000007218	0.0000006953	0.0000006697	0.0000006451	0.0000006215	0.0000005986	0.0000005767	0.0000005555	0.0000005351	0.0000005155	0.0000004965	0.0000004783	0.0000004607	0.0000004438	0.0000004275	0.0000004118
2	0.0001274363	0.0001226454	0.0001180345	0.000113597	0.0001093263	0.0001052162	0.0001012606	0.0000974537	0.0000937899	0.0000902638	0.0000868703	0.0000836044	0.0000804612	0.0000774362	0.000074525	0.0000717231	0.0000690266	0.0000664315	0.000063934	0.0000615303	0.000059217	0.0000569907	0.0000548481	0.000052786	0.0000508014	0.0000488915	0.0000470534	0.0000452843	0.0000435818	0.0000419433	0.0000403664	0.0000388487	0.0000373882	0.0000359825	0.0000346297	0.0000333277	0.0000320747	0.0000308688	0.0000297083	0.0000285913	0.0000275164	0.0000264819	0.0000254862	0.000024528	0.0000236059	0.0000227184	0.0000218642	0.0000210422	0.0000202511	0.0000194897	0.0000187569	0.0000180517	0.0000173731	0.0000167199	0.0000160913	0.0000154863	0.000014904	0.0000143437	0.0000138044	0.0000132854	0.0000127859	0.0000123052	0.0000118426	0.0000113973	0.0000109688	0.0000105564	0.0000101595	0.0000097776	0.00000941	0.0000090562	0.0000087157	0.000008388	0.0000080726	0.0000077691	0.000007477	0.0000071959	0.0000069254	0.000006665	0.0000064144	0.0000061732	0.0000059411	0.0000057178	0.0000055028	0.0000052959	0.0000050968	0.0000049052	0.0000047208	0.0000045433	0.0000043725	0.0000042081	0.0000040499	0.0000038976	0.000003751	0.00000361	0.0000034743	0.0000033437	0.000003218	0.000003097	0.0000029805	0.0000028685	0.0000027606	0.0000026568	0.0000025569	0.0000024608	0.0000023683	0.0000022792	0.0000021936	0.0000021111	0.0000020317	0.0000019553	0.0000018818	0.0000018111	0.000001743	0.0000016774	0.0000016144	0.0000015537	0.0000014953	0.000001439	0.0000013849	0.0000013329	0.0000012828	0.0000012345	0.0000011881	0.0000011434	0.0000011005	0.0000010591	0.0000010193	0.0000009809	0.0000009441	0.0000009086	0.0000008744	0.0000008415	0.0000008099	0.0000007794	0.0000007501	0.0000007219	0.0000006948	0.0000006687	0.0000006435	0.0000006193	0.000000596	0.0000005736	0.0000005521	0.0000005313	0.0000005113	0.0000004921	0.0000004736	0.0000004558	0.0000004387	0.0000004222	0.0000004063	0.000000391	0.0000003763	0.0000003622	0.0000003486	0.0000003355	0.0000003228	0.0000003107	0.000000299	0.0000002878	0.000000277	0.0000002665	0.0000002565	0.0000002469	0.0000002376	0.0000002287	0.0000002201	0.0000002118	0.0000002038	0.0000001962	0.0000001888
3	0.0000915644	0.0000880159	0.0000846048	0.000081326	0.0000781742	0.0000751445	0.0000722323	0.0000694328	0.0000667419	0.0000641552	0.0000616688	0.0000592787	0.0000569813	0.0000547729	0.00005265	0.0000506094	0.0000486479	0.0000467624	0.00004495	0.0000432078	0.0000415332	0.0000399234	0.000038376	0.0000368886	0.0000354588	0.0000340845	0.0000327634	0.0000314935	0.0000302728	0.0000290994	0.0000279715	0.0000268873	0.0000258451	0.0000248434	0.0000238804	0.0000229548	0.000022065	0.0000212098	0.0000203876	0.0000195974	0.0000188377	0.0000181076	0.0000174057	0.000016731	0.0000160824	0.000015459	0.0000148598	0.0000142838	0.0000137301	0.0000131979	0.0000126863	0.0000121945	0.0000117218	0.0000112674	0.0000108307	0.0000104108	0.0000100073	0.0000096193	0.0000092464	0.000008888	0.0000085435	0.0000082123	0.0000078939	0.0000075879	0.0000072938	0.000007011	0.0000067392	0.000006478	0.0000062269	0.0000059855	0.0000057534	0.0000055304	0.000005316	0.0000051099	0.0000049118	0.0000047214	0.0000045384	0.0000043624	0.0000041933	0.0000040307	0.0000038745	0.0000037243	0.0000035799	0.0000034411	0.0000033077	0.0000031795	0.0000030562	0.0000029377	0.0000028238	0.0000027144	0.0000026091	0.000002508	0.0000024107	0.0000023173	0.0000022274	0.0000021411	0.0000020581	0.0000019783	0.0000019016	0.0000018279	0.000001757	0.0000016889	0.0000016234	0.0000015605	0.0000015	0.0000014418	0.0000013859	0.0000013322	0.0000012805	0.0000012309	0.0000011832	0.0000011373	0.0000010932	0.0000010508	0.0000010101	0.0000009709	0.0000009333	0.0000008971	0.0000008623	0.0000008289	0.0000007967	0.0000007658	0.0000007361	0.0000007076	0.0000006802	0.0000006538	0.0000006284	0.0000006041	0.0000005807	0.0000005581	0.0000005365	0.0000005157	0.0000004957	0.0000004765	0.000000458	0.0000004403	0.0000004232	0.0000004068	0.000000391	0.0000003758	0.0000003613	0.0000003473	0.0000003338	0.0000003209	0.0000003084	0.0000002965	0.000000285	0.0000002739	0.0000002633	0.0000002531	0.0000002433	0.0000002338	0.0000002248	0.0000002161	0.0000002077	0.0000001996	0.0000001919	0.0000001844	0.0000001773	0.0000001704	0.0000001638	0.0000001575	0.0000001514	0.0000001455	0.0000001398	0.0000001344	0.0000001292	0.0000001242	0.0000001194	0.0000001148	0.0000001103
4	0.000082158	0.0000788904	0.0000757529	0.0000727402	0.0000698475	0.0000670699	0.0000644028	0.0000618419	0.0000593829	0.0000570218	0.0000547546	0.0000525777	0.0000504874	0.0000484802	0.0000465529	0.0000447023	0.0000429253	0.0000412191	0.0000395807	0.0000380074	0.0000364968	0.0000350462	0.0000336534	0.0000323159	0.0000310317	0.0000297985	0.0000286144	0.0000274773	0.0000263855	0.0000253371	0.0000243304	0.0000233637	0.0000224354	0.0000215441	0.0000206882	0.0000198663	0.0000190771	0.0000183193	0.0000175916	0.0000168929	0.0000162219	0.0000155775	0.0000149588	0.0000143647	0.0000137942	0.0000132464	0.0000127203	0.0000122152	0.0000117301	0.0000112643	0.000010817	0.0000103875	0.0000099751	0.000009579	0.0000091987	0.0000088335	0.0000084828	0.000008146	0.0000078226	0.0000075121	0.0000072139	0.0000069275	0.0000066525	0.0000063885	0.0000061349	0.0000058914	0.0000056576	0.000005433	0.0000052174	0.0000050103	0.0000048115	0.0000046206	0.0000044372	0.0000042611	0.000004092	0.0000039297	0.0000037737	0.000003624	0.0000034802	0.0000033421	0.0000032095	0.0000030822	0.0000029599	0.0000028425	0.0000027297	0.0000026214	0.0000025174	0.0000024176	0.0000023217	0.0000022296	0.0000021412	0.0000020562	0.0000019747	0.0000018964	0.0000018211	0.0000017489	0.0000016796	0.0000016129	0.000001549	0.0000014876	0.0000014286	0.0000013719	0.0000013175	0.0000012653	0.0000012151	0.0000011669	0.0000011207	0.0000010762	0.0000010335	0.0000009926	0.0000009532	0.0000009154	0.0000008791	0.0000008443	0.0000008108	0.0000007787	0.0000007478	0.0000007182	0.0000006897	0.0000006624	0.0000006361	0.0000006109	0.0000005867	0.0000005634	0.0000005411	0.0000005196	0.0000004991	0.0000004793	0.0000004603	0.000000442	0.0000004245	0.0000004077	0.0000003915	0.000000376	0.0000003611	0.0000003468	0.0000003331	0.0000003199	0.0000003072	0.000000295	0.0000002833	0.0000002721	0.0000002613	0.000000251	0.000000241	0.0000002315	0.0000002223	0.0000002135	0.0000002051	0.0000001969	0.0000001891	0.0000001816	0.0000001744	0.0000001675	0.0000001609	0.0000001545	0.0000001484	0.0000001425	0.0000001369	0.0000001315	0.0000001263	0.0000001213	0.0000001164	0.0000001118	0.0000001074	0.0000001032	0.0000000991	0.0000000951	0.0000000914	0.0000000878	0.0000000843
5	0.0000641034	0.0000614831	0.0000589699	0.0000565596	0.0000542478	0.0000520305	0.0000499038	0.0000478642	0.0000459079	0.0000440316	0.000042232	0.000040506	0.0000388506	0.0000372628	0.0000357399	0.0000342793	0.0000328785	0.0000315349	0.0000302462	0.0000290102	0.0000278247	0.0000266877	0.0000255971	0.0000245512	0.000023548	0.0000225857	0.0000216629	0.0000207777	0.0000199288	0.0000191145	0.0000183335	0.0000175844	0.000016866	0.0000161769	0.000015516	0.0000148821	0.000014274	0.0000136909	0.0000131316	0.0000125951	0.0000120805	0.000011587	0.0000111137	0.0000106597	0.0000102242	0.0000098066	0.000009406	0.0000090217	0.0000086532	0.0000082997	0.0000079607	0.0000076356	0.0000073237	0.0000070245	0.0000067376	0.0000064624	0.0000061985	0.0000059453	0.0000057025	0.0000054696	0.0000052462	0.0000050319	0.0000048264	0.0000046293	0.0000044402	0.0000042589	0.000004085	0.0000039181	0.0000037581	0.0000036046	0.0000034574	0.0000033163	0.0000031808	0.0000030509	0.0000029264	0.0000028069	0.0000026922	0.0000025823	0.0000024769	0.0000023757	0.0000022787	0.0000021857	0.0000020964	0.0000020108	0.0000019287	0.00000185	0.0000017744	0.000001702	0.0000016325	0.0000015658	0.0000015019	0.0000014406	0.0000013818	0.0000013254	0.0000012713	0.0000012194	0.0000011696	0.0000011218	0.000001076	0.0000010321	0.00000099	0.0000009496	0.0000009108	0.0000008736	0.0000008379	0.0000008037	0.0000007709	0.0000007395	0.0000007093	0.0000006803	0.0000006526	0.0000006259	0.0000006004	0.0000005759	0.0000005524	0.0000005298	0.0000005082	0.0000004874	0.0000004675	0.0000004485	0.0000004302	0.0000004126	0.0000003958	0.0000003796	0.0000003641	0.0000003493	0.000000335	0.0000003213	0.0000003082	0.0000002956	0.0000002836	0.000000272	0.0000002609	0.0000002502	0.00000024	0.0000002302	0.0000002208	0.0000002118	0.0000002032	0.0000001949	0.0000001869	0.0000001793	0.000000172	0.000000165	0.0000001582	0.0000001518	0.0000001456	0.0000001397	0.000000134	0.0000001285	0.0000001232	0.0000001182	0.0000001134	0.0000001088	0.0000001043	0.0000001001	0.000000096	0.0000000921	0.0000000883	0.0000000847	0.0000000813	0.0000000779	0.0000000748	0.0000000717	0.0000000688	0.000000066	0.0000000633	0.0000000607	0.0000000582	0.0000000559	0.0000000536
6	0.00005907	0.0000567211	0.0000544656	0.0000522999	0.0000502203	0.0000482235	0.0000463061	0.000044465	0.0000426972	0.0000409997	0.0000393697	0.0000378045	0.0000363017	0.0000348586	0.0000334729	0.0000321423	0.0000308646	0.0000296378	0.0000284597	0.0000273285	0.0000262423	0.0000251993	0.0000241978	0.0000232361	0.0000223127	0.0000214259	0.0000205745	0.0000197569	0.0000189718	0.0000182179	0.000017494	0.0000167988	0.0000161313	0.0000154904	0.0000148749	0.0000142839	0.0000137164	0.0000131714	0.0000126482	0.0000121457	0.0000116632	0.0000111998	0.0000107549	0.0000103277	0.0000099174	0.0000095235	0.0000091452	0.0000087819	0.0000084331	0.0000080982	0.0000077765	0.0000074677	0.0000071711	0.0000068863	0.0000066128	0.0000063502	0.000006098	0.0000058558	0.0000056233	0.0000054	0.0000051855	0.0000049796	0.0000047819	0.000004592	0.0000044097	0.0000042346	0.0000040665	0.000003905	0.00000375	0.0000036011	0.0000034581	0.0000033208	0.000003189	0.0000030624	0.0000029408	0.0000028241	0.000002712	0.0000026043	0.0000025009	0.0000024017	0.0000023063	0.0000022148	0.0000021269	0.0000020425	0.0000019614	0.0000018835	0.0000018088	0.000001737	0.0000016681	0.0000016019	0.0000015383	0.0000014772	0.0000014186	0.0000013623	0.0000013083	0.0000012563	0.0000012065	0.0000011586	0.0000011126	0.0000010685	0.0000010261	0.0000009854	0.0000009463	0.0000009087	0.0000008727	0.0000008381	0.0000008048	0.0000007729	0.0000007422	0.0000007128	0.0000006845	0.0000006573	0.0000006313	0.0000006062	0.0000005822	0.0000005591	0.0000005369	0.0000005156	0.0000004951	0.0000004755	0.0000004566	0.0000004385	0.0000004211	0.0000004044	0.0000003884	0.000000373	0.0000003582	0.000000344	0.0000003303	0.0000003172	0.0000003047	0.0000002926	0.000000281	0.0000002698	0.0000002591	0.0000002489	0.000000239	0.0000002295	0.0000002204	0.0000002117	0.0000002033	0.0000001952	0.0000001875	0.00000018	0.0000001729	0.000000166	0.0000001595	0.0000001531	0.0000001471	0.0000001412	0.0000001356	0.0000001303	0.0000001251	0.0000001201	0.0000001154	0.0000001108	0.0000001064	0.0000001022	0.0000000981	0.0000000942	0.0000000905	0.0000000869	0.0000000835	0.0000000802	0.000000077	0.0000000739	0.000000071	0.0000000682	0.0000000655	0.0000000629	0.0000000604
7	0.0000527215	0.0000505881	0.000048541	0.0000465767	0.000044692	0.0000428835	0.0000411483	0.0000394833	0.0000378856	0.0000363527	0.0000348817	0.0000334704	0.0000321161	0.0000308166	0.0000295698	0.0000283734	0.0000272254	0.0000261239	0.0000250669	0.0000240528	0.0000230796	0.0000221459	0.0000212499	0.0000203902	0.0000195653	0.0000187738	0.0000180143	0.0000172855	0.0000165863	0.0000159153	0.0000152714	0.0000146537	0.0000140609	0.0000134921	0.0000129463	0.0000124226	0.0000119201	0.0000114379	0.0000109753	0.0000105313	0.0000101053	0.0000096966	0.0000093044	0.000008928	0.0000085669	0.0000082204	0.0000078879	0.0000075689	0.0000072627	0.000006969	0.0000066871	0.0000064167	0.0000061571	0.0000059081	0.0000056692	0.0000054399	0.0000052199	0.0000050088	0.0000048062	0.0000046118	0.0000044253	0.0000042464	0.0000040746	0.0000039099	0.0000037517	0.0000036	0.0000034544	0.0000033148	0.0000031807	0.0000030521	0.0000029287	0.0000028102	0.0000026966	0.0000025876	0.0000024829	0.0000023825	0.0000022862	0.0000021938	0.000002105	0.0000020199	0.0000019383	0.0000018599	0.0000017847	0.0000017125	0.0000016433	0.0000015768	0.0000015131	0.0000014519	0.0000013932	0.0000013369	0.0000012828	0.000001231	0.0000011812	0.0000011334	0.0000010876	0.0000010436	0.0000010014	0.000000961	0.0000009221	0.0000008848	0.0000008491	0.0000008147	0.0000007818	0.0000007502	0.0000007199	0.0000006908	0.0000006628	0.000000636	0.0000006103	0.0000005857	0.000000562	0.0000005393	0.0000005175	0.0000004966	0.0000004765	0.0000004572	0.0000004387	0.000000421	0.000000404	0.0000003877	0.000000372	0.0000003569	0.0000003425	0.0000003287	0.0000003154	0.0000003026	0.0000002904	0.0000002787	0.0000002674	0.0000002566	0.0000002462	0.0000002363	0.0000002267	0.0000002176	0.0000002088	0.0000002003	0.0000001922	0.0000001845	0.000000177	0.0000001699	0.000000163	0.0000001564	0.0000001501	0.000000144	0.0000001382	0.0000001326	0.0000001273	0.0000001221	0.0000001172	0.0000001124	0.0000001079	0.0000001035	0.0000000994	0.0000000953	0.0000000915	0.0000000878	0.0000000842	0.0000000808	0.0000000776	0.0000000744	0.0000000714	0.0000000685	0.0000000658	0.0000000631	0.0000000606	0.0000000581	0.0000000558	0.0000000535	0.0000000513	0.0000000493	0.0000000473
8	0.0000510366	0.0000491812	0.0000473933	0.0000456703	0.0000440099	0.0000424098	0.0000408679	0.000039382	0.0000379501	0.0000365702	0.0000352405	0.0000339591	0.0000327242	0.0000315343	0.0000303876	0.0000292825	0.0000282176	0.0000271915	0.0000262026	0.0000252496	0.0000243313	0.0000234464	0.0000225937	0.0000217719	0.00002098	0.0000202169	0.0000194816	0.0000187729	0.0000180901	0.000017432	0.0000167979	0.0000161869	0.000015598	0.0000150306	0.0000144838	0.0000139569	0.0000134491	0.0000129598	0.0000124883	0.0000120339	0.0000115961	0.0000111742	0.0000107676	0.0000103758	0.0000099983	0.0000096345	0.0000092839	0.0000089461	0.0000086206	0.0000083069	0.0000080046	0.0000077133	0.0000074326	0.0000071621	0.0000069014	0.0000066503	0.0000064082	0.000006175	0.0000059503	0.0000057337	0.000005525	0.0000053239	0.0000051302	0.0000049434	0.0000047635	0.0000045901	0.000004423	0.000004262	0.0000041069	0.0000039574	0.0000038133	0.0000036745	0.0000035407	0.0000034118	0.0000032876	0.0000031679	0.0000030526	0.0000029415	0.0000028344	0.0000027312	0.0000026317	0.0000025359	0.0000024436	0.0000023546	0.0000022689	0.0000021863	0.0000021067	0.00000203	0.000001956	0.0000018848	0.0000018162	0.00000175	0.0000016863	0.0000016249	0.0000015657	0.0000015087	0.0000014538	0.0000014008	0.0000013498	0.0000013007	0.0000012533	0.0000012076	0.0000011637	0.0000011213	0.0000010804	0.0000010411	0.0000010032	0.0000009666	0.0000009314	0.0000008975	0.0000008648	0.0000008333	0.000000803	0.0000007737	0.0000007455	0.0000007184	0.0000006922	0.000000667	0.0000006427	0.0000006193	0.0000005967	0.000000575	0.000000554	0.0000005338	0.0000005144	0.0000004957	0.0000004776	0.0000004602	0.0000004434	0.0000004273	0.0000004117	0.0000003967	0.0000003823	0.0000003683	0.0000003549	0.000000342	0.0000003295	0.0000003175	0.0000003059	0.0000002948	0.000000284	0.0000002737	0.0000002637	0.0000002541	0.0000002449	0.0000002359	0.0000002273	0.0000002191	0.0000002111	0.0000002034	0.000000196	0.0000001888	0.0000001819	0.0000001753	0.0000001689	0.0000001628	0.0000001568	0.0000001511	0.0000001456	0.0000001403	0.0000001352	0.0000001303	0.0000001255	0.0000001209	0.0000001165	0.0000001123	0.0000001082	0.0000001042	0.0000001004	0.0000000968	0.0000000933
9	0.0000590638	0.0000570404	0.0000550863	0.0000531992	0.0000513769	0.000049617	0.0000479174	0.000046276	0.0000446909	0.0000431602	0.0000416819	0.0000402543	0.0000388756	0.0000375441	0.0000362583	0.0000350165	0.0000338173	0.0000326592	0.0000315408	0.0000304607	0.0000294176	0.0000284103	0.0000274374	0.0000264979	0.0000255906	0.0000247144	0.0000238682	0.0000230509	0.0000222617	0.0000214995	0.0000207634	0.0000200526	0.0000193661	0.0000187031	0.0000180628	0.0000174444	0.0000168473	0.0000162706	0.0000157136	0.0000151757	0.0000146562	0.0000141546	0.0000136701	0.0000132022	0.0000127503	0.0000123139	0.0000118924	0.0000114854	0.0000110923	0.0000107127	0.0000103461	0.000009992	0.0000096501	0.0000093198	0.0000090009	0.0000086929	0.0000083954	0.0000081081	0.0000078307	0.0000075627	0.0000073039	0.000007054	0.0000068127	0.0000065796	0.0000063544	0.000006137	0.0000059271	0.0000057243	0.0000055284	0.0000053393	0.0000051566	0.0000049802	0.0000048098	0.0000046453	0.0000044864	0.0000043329	0.0000041847	0.0000040415	0.0000039033	0.0000037698	0.0000036408	0.0000035163	0.000003396	0.0000032799	0.0000031677	0.0000030593	0.0000029547	0.0000028536	0.000002756	0.0000026618	0.0000025707	0.0000024828	0.0000023979	0.0000023159	0.0000022367	0.0000021602	0.0000020863	0.000002015	0.0000019461	0.0000018795	0.0000018153	0.0000017532	0.0000016933	0.0000016354	0.0000015794	0.0000015254	0.0000014733	0.0000014229	0.0000013743	0.0000013273	0.0000012819	0.0000012381	0.0000011957	0.0000011548	0.0000011154	0.0000010772	0.0000010404	0.0000010048	0.0000009705	0.0000009373	0.0000009053	0.0000008743	0.0000008444	0.0000008156	0.0000007877	0.0000007608	0.0000007348	0.0000007096	0.0000006854	0.000000662	0.0000006393	0.0000006175	0.0000005964	0.000000576	0.0000005563	0.0000005373	0.0000005189	0.0000005012	0.0000004841	0.0000004675	0.0000004515	0.0000004361	0.0000004212	0.0000004068	0.0000003929	0.0000003795	0.0000003665	0.000000354	0.0000003419	0.0000003302	0.0000003189	0.000000308	0.0000002975	0.0000002873	0.0000002775	0.000000268	0.0000002589	0.00000025	0.0000002415	0.0000002332	0.0000002253	0.0000002176	0.0000002101	0.000000203	0.000000196	0.0000001893	0.0000001829	0.0000001766	0.0000001706	0.0000001647	0.0000001591
