id	dob	Sex	penAge	maritalSatatus	dobParnter	sexPartner	Lop	Lpp	LppIngegaan	Wzp	WzpIngegaan	Top	topStart	topEnd
1	3401	F	65	M	4192	M	18197	12737.9		2547.58		4549.25	62	65
2	8540	F	65	M	9332	M	23771	16639.7		3327.94		5942.75	62	65
3	8002	F	65	M	8793	M	6091	4263.7		852.74		1522.75	62	65
4	5805	F	65	M	6597	M	22760	15932		3186.4		5690	62	65
5	33125	M	65	U		F	9839	6887.3		1377.46		2459.75	62	65
6	3526	F	65	M	4317	M	5433	3803.1		760.62		1358.25	62	65
7	20320	M	65	U		F	2114	1479.8		295.96		528.5	62	65
8	19759	M	65	U		F	22842	15989.4		3197.88		5710.5	62	65
9	6269	F	65	M	7058	M	9192	6434.4		1286.88		2298	62	65
10	26150	M	65	U		F	19207	13444.9		2688.98		4801.75	62	65
11	32404	F	65	U		M	16955	11868.5		2373.7		4238.75	62	65
12	28294	F	65	U		M	18668	13067.6		2613.52		4667	62	65
13	3224	F	65	M	4015	M	12608	8825.6		1765.12		3152	62	65
14	8152	F	65	M	8944	M	10902	7631.4		1526.28		2725.5	62	65
15	4550	F	65	M	5341	M	20842	14589.4		2917.88		5210.5	62	65
16	31694	M	65	U		F	12194	8535.8		1707.16		3048.5	62	65
17	32234	M	65	U		F	15418	10792.6		2158.52		3854.5	62	65
18	19461	F	65	M	20252	M	23788	16651.6		3330.32		5947	62	65
19	20385	F	65	U		M	4810	3367		673.4		1202.5	62	65
20	31934	M	65	U		F	2470	1729		345.8		617.5	62	65
21	17521	F	65	M	18314	M	9869	6908.3		1381.66		2467.25	62	65
22	25586	M	65	U		F	2795	1956.5		391.3		698.75	62	65
23	19197	M	65	M	18405	F	9197	6437.9		1287.58		2299.25	62	65
24	8356	M	65	M	7565	F	8035	5624.5		1124.9		2008.75	62	65
25	30882	M	65	U		F	22640	15848		3169.6		5660	62	65
26	34205	M	65	U		F	24023	16816.1		3363.22		6005.75	62	65
27	9409	M	65	M	8617	F	21622	15135.4		3027.08		5405.5	62	65
28	23510	M	65	U		F	20518	14362.6		2872.52		5129.5	62	65
29	22093	F	65	U		M	1423	996.1		199.22		355.75	62	65
30	21868	F	65	U		M	18572	13000.4		2600.08		4643	62	65
31	21547	F	65	U		M	6016	4211.2		842.24		1504	62	65
32	19893	F	65	U		M	10419	7293.3		1458.66		2604.75	62	65
33	975	F	65	M	1767	M	14727	10308.9		2061.78		3681.75	62	65
34	25798	M	65	U		F	15341	10738.7		2147.74		3835.25	62	65
35	23744	M	65	U		F	12598	8818.6		1763.72		3149.5	62	65
36	3901	F	65	M	4693	M	4743	3320.1		664.02		1185.75	62	65
37	13412	F	65	M	14203	M	14622	10235.4		2047.08		3655.5	62	65
38	18916	M	65	M	18125	F	13608	9525.6		1905.12		3402	62	65
39	32684	F	65	U		M	8993	6295.1		1259.02		2248.25	62	65
40	20677	M	65	U		F	15402	10781.4		2156.28		3850.5	62	65
41	739	M	65	M	-52	F	5933	4153.1		830.62		1483.25	62	65
42	21064	F	65	U		M	18717	13101.9		2620.38		4679.25	62	65
43	29015	M	65	U		F	9256	6479.2		1295.84		2314	62	65
44	33517	M	65	U		F	1728	1209.6		241.92		432	62	65
45	4871	M	65	M	4079	F	4308	3015.6		603.12		1077	62	65
46	15178	M	65	M	14386	F	23860	16702		3340.4		5965	62	65
47	16178	F	65	M	16969	M	11455	8018.5		1603.7		2863.75	62	65
48	17183	F	65	M	17973	M	23577	16503.9		3300.78		5894.25	62	65
49	34216	M	65	U		F	16696	11687.2		2337.44		4174	62	65
50	7221	F	65	M	8013	M	20307	14214.9		2842.98		5076.75	62	65
51	30532	F	65	U		M	3103	2172.1		434.42		775.75	62	65
52	30665	F	65	U		M	2459	1721.3		344.26		614.75	62	65
53	12452	F	65	M	13242	M	16601	11620.7		2324.14		4150.25	62	65
54	3151	M	65	M	2359	F	22291	15603.7		3120.74		5572.75	62	65
55	19387	F	65	M	20176	M	18637	13045.9		2609.18		4659.25	62	65
56	25499	F	65	U		M	9256	6479.2		1295.84		2314	62	65
57	2725	F	65	M	3517	M	3277	2293.9		458.78		819.25	62	65
58	16550	F	65	M	17341	M	5817	4071.9		814.38		1454.25	62	65
59	32936	F	65	U		M	9698	6788.6		1357.72		2424.5	62	65
60	3327	F	65	M	4116	M	18344	12840.8		2568.16		4586	62	65
61	26245	M	65	U		F	15985	11189.5		2237.9		3996.25	62	65
62	14439	M	65	M	13648	F	19126	13388.2		2677.64		4781.5	62	65
63	31255	M	65	U		F	13821	9674.7		1934.94		3455.25	62	65
64	350	F	65	M	1142	M	18005	12603.5		2520.7		4501.25	62	65
65	16815	F	65	M	17605	M	9801	6860.7		1372.14		2450.25	62	65
66	11603	F	65	M	12395	M	22213	15549.1		3109.82		5553.25	62	65
67	466	F	65	M	1257	M	5506	3854.2		770.84		1376.5	62	65
68	11390	F	65	M	12182	M	11566	8096.2		1619.24		2891.5	62	65
69	6806	M	65	M	6015	F	21552	15086.4		3017.28		5388	62	65
70	25511	F	65	U		M	16727	11708.9		2341.78		4181.75	62	65
71	27622	M	65	U		F	21651	15155.7		3031.14		5412.75	62	65
72	26331	M	65	U		F	14054	9837.8		1967.56		3513.5	62	65
73	18904	M	65	M	18113	F	14838	10386.6		2077.32		3709.5	62	65
74	33751	M	65	U		F	10860	7602		1520.4		2715	62	65
75	33765	M	65	U		F	18807	13164.9		2632.98		4701.75	62	65
76	31602	F	65	U		M	18723	13106.1		2621.22		4680.75	62	65
77	24937	F	65	U		M	12376	8663.2		1732.64		3094	62	65
78	25054	F	65	U		M	18924	13246.8		2649.36		4731	62	65
79	2486	F	65	M	3278	M	1799	1259.3		251.86		449.75	62	65
80	4756	F	65	M	5545	M	10581	7406.7		1481.34		2645.25	62	65
81	17692	F	65	M	18483	M	15700	10990		2198		3925	62	65
82	30297	M	65	U		F	4697	3287.9		657.58		1174.25	62	65
83	3079	F	65	M	3870	M	12845	8991.5		1798.3		3211.25	62	65
84	27381	F	65	U		M	9277	6493.9		1298.78		2319.25	62	65
85	28341	M	65	U		F	20429	14300.3		2860.06		5107.25	62	65
86	33776	F	65	U		M	15731	11011.7		2202.34		3932.75	62	65
87	20777	M	65	U		F	19278	13494.6		2698.92		4819.5	62	65
88	31937	F	65	U		M	19033	13323.1		2664.62		4758.25	62	65
