	qx	qy
0	0.0000466	0.0000516
1	4.66021716611994E-05	5.16026626973952E-05
2	4.66043435248165E-05	5.16053256696091E-05
3	4.66065155908796E-05	0.000051608
4	4.6608687859417E-05	5.16106524386633E-05
5	4.6610860330457E-05	5.16133162355888E-05
6	0.000046613	5.1515949337915E-05
7	4.6515173249514E-05	5.16186394907201E-05
8	4.66173742953999E-05	5.16213041122071E-05
9	4.66195475762987E-05	0.000051624
10	4.66217210598418E-05	5.16266341805738E-05
11	4.66238947460574E-05	0.000058233
12	0.000046526	6.45403829175915E-05
13	6.05366610019027E-05	7.15493833844119E-05
14	7.38491909460892E-05	7.94605250819549E-05
15	0.000091868	8.78739107463287E-05
16	0.0001122934	9.58890713583848E-05
17	0.0001340265	0.0001018043
18	0.0001552673	0.0001041173
19	0.0001757166	0.0001046287
20	0.0001918702	0.0001045395
21	0.0002034255	0.0001046506
22	0.000211882	0.0001045614
23	0.0002173378	0.0001072768
24	0.0002198907	0.0001147013
25	0.0002204403	0.0001264364
26	0.0002203886	0.0001410816
27	0.0002204372	0.0001556326
28	0.000226003	0.0001694885
29	0.0002394989	0.0001835518
30	0.0002575205	0.000197422
31	0.0002809764	0.0002130052
32	0.0003097734	0.0002339143
33	0.000341007	0.000261359
34	0.0003724726	0.000295147
35	0.0004039722	0.0003340833
36	0.0004362129	0.0003772748
37	0.0004759391	0.0004263398
38	0.0005224638	0.0004809926
39	0.0005757055	0.0005419552
40	0.0006377014	0.0006113632
41	0.0007108016	0.0006891481
42	0.0007925274	0.0007761537
43	0.0008824176	0.0008724271
44	0.0009827449	0.0009744926
45	0.0010985319	0.0010851275
46	0.0012221809	0.0012076361
47	0.0013816552	0.0013210571
48	0.0015868474	0.0014761688
49	0.0018143302	0.0016408753
50	0.0020454427	0.0018284283
51	0.0022635217	0.0020240012
52	0.0025086099	0.0022469525
53	0.0028286169	0.0023690481
54	0.0031849712	0.0024465591
55	0.0035957796	0.0026999947
56	0.0041213479	0.0029666449
57	0.0047478643	0.0032997851
58	0.0054773498	0.0037222925
59	0.006168019	0.0041689975
60	0.0068889809	0.0047089861
61	0.0077869636	0.0053250766
62	0.0088230772	0.0060759292
63	0.0099649699	0.0066349789
64	0.0111959645	0.0077440942
65	0.0126759989	0.0087608987
66	0.0142215903	0.0097376819
67	0.0157207166	0.0109589619
68	0.0174901588	0.0119058247
69	0.0195863252	0.0128714004
70	0.0220542832	0.0140433987
71	0.0247933905	0.0148970408
72	0.0282008156	0.0162492492
73	0.0319782206	0.0180496882
74	0.0363177941	0.0200875091
75	0.041371848	0.022561488
76	0.0468785784	0.0256688685
77	0.0528042527	0.0285302624
78	0.0591442605	0.0319100187
79	0.0660593694	0.0359655879
80	0.074217334	0.0401893009
81	0.0833360895	0.0470028492
82	0.0918541131	0.0536453897
83	0.1017093971	0.0614935138
84	0.1125826054	0.0709959686
85	0.1239204839	0.0817810824
86	0.1366130026	0.0933832969
87	0.1512757639	0.1066908147
88	0.1671243106	0.1235085057
89	0.1815246725	0.1384369174
90	0.1943699705	0.1585969098
91	0.2118022541	0.1763003258
92	0.2308264681	0.1947610614
93	0.2481009742	0.2146958522
94	0.2721229954	0.2374185141
95	0.2858367379	0.2566866845
96	0.3061670176	0.275942378
97	0.3269290807	0.2996819198
98	0.3455350082	0.3213441559
99	0.3580341582	0.3510877868
100	0.3679733594	0.3581239327
101	0.387921654	0.3732825298
102	0.4225964912	0.3995027063
103	0.4743963701	0.4381296236
104	0.5447818714	0.4907432372
105	0.6352861497	0.5587223154
106	0.7409470752	0.6418716257
107	0.8494623656	0.7364600782
108	0.9523809524	0.8347457627
109	1	0.9230769231
110	1	1
111	1	1
112	1	1
113	1	1
114	1	1
115	1	1
116	1	1
117	1	1
118	1	1
119	1	1
120	1	1
